2021-06-22 21:06:290 INFO  BuildYourOwnComputerPage :80 - Getting total price from element [[ChromeDriver: chrome on WINDOWS (4903c1e970bd47ad2bb98d00982cc379)] -> xpath: //div[@class='product-price']/span[@id='price-value-1']]
2021-06-22 21:06:410 INFO  BuildYourOwnComputerPage :87 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (4903c1e970bd47ad2bb98d00982cc379)] -> xpath: //div[@class='add-to-cart-panel']/button[@id='add-to-cart-button-1']]
2021-06-22 21:06:453 INFO  BuildYourOwnComputerPage :92 - Getting green bar message [[ChromeDriver: chrome on WINDOWS (4903c1e970bd47ad2bb98d00982cc379)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
2021-06-22 21:06:146 INFO  BasePage :32 - Launching Chrome Browser
2021-06-22 21:06:952 INFO  HomePage :31 - Clicking on element [[ChromeDriver: chrome on WINDOWS (61da5947e8454cbd1ffc9c31ccd966f0)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-22 21:06:118 INFO  ComputersPage :31 - Click on desktop option Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']/a[@href='/desktops']'
2021-06-22 22:06:648 INFO  BasePage :32 - Launching Chrome Browser
2021-06-22 22:06:60 INFO  HomePage :31 - Clicking on element [[ChromeDriver: chrome on WINDOWS (46af37864b4603e904eb9bd774e14bd6)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-22 22:06:362 INFO  ComputersPage :31 - Click on desktop option Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']/a[@href='/desktops']'
2021-06-23 00:06:821 INFO  BasePage :32 - Launching Chrome Browser
2021-06-23 00:06:407 INFO  HomePage :31 - Clicking on element [[ChromeDriver: chrome on WINDOWS (7dc7a07eaee9996bbeb6220f93a28bf0)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-23 00:06:932 INFO  ComputersPage :31 - Click on desktop option Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']/a[@href='/desktops']'
